Data,Mandante,Hor/Res,Visitante,Liga,Fase,Unnamed: 6,Torneio,Campo
2026-04-26 14:00:00,Avaré Lions,14 - 23,Franca Carrascos,SPFL Ouro,,,spfl-2026,
2026-05-03 14:00:00,Caraguá Ghostship,29 - 00,Jacareí Red Wolves,SPFL Prata,,,spfl-2026,
2026-05-03 14:00:00,Corinthians Steamrollers 2,00 - 25,Ponte Preta Gorilas,SPFL Prata,,,spfl-2026,
2026-05-09 14:00:00,Franca Carrascos,13 - 27,Empyreo Leme Lizards,SPFL Ouro,,,spfl-2026,
2026-05-17 10:00:00,Taubaté Football,20 - 14,Caniballs Football,SPFL Ouro,,,spfl-2026,
2026-05-17 10:00:00,Spartans Football 2,10:00:0010:00,Guarulhos Rhynos 2,SPFL Prata,,,spfl-2026,
2026-05-17 14:00:00,São José Jets,45 - 18,Vikings Berserker,SPFL Ouro,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 14:00:41,Guarulhos Rhynos 2,24 - 12,Caraguá Ghostship,,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 14:00:41,Guarulhos Rhynos 2,24 - 12,Caraguá Ghostship,,,,spfl-2026,
2026-06-21 10:00:11,Guarulhos Rhynos 2,14 - 21,Ponte Preta Gorilas,,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 14:00:41,Guarulhos Rhynos 2,24 - 12,Caraguá Ghostship,,,,spfl-2026,
2026-06-21 10:00:11,Guarulhos Rhynos 2,14 - 21,Ponte Preta Gorilas,,,,spfl-2026,
2026-06-21 14:00:15,Piracicaba Cane Cutters,06 - 00,Corinthians Steamrollers 2,,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 14:00:41,Guarulhos Rhynos 2,24 - 12,Caraguá Ghostship,,,,spfl-2026,
2026-06-21 10:00:11,Guarulhos Rhynos 2,14 - 21,Ponte Preta Gorilas,,,,spfl-2026,
2026-06-21 14:00:15,Piracicaba Cane Cutters,06 - 00,Corinthians Steamrollers 2,,,,spfl-2026,
2026-07-12 10:00:47,Piracicaba Cane Cutters,09 - 06,Ponte Preta Gorilas,,,,spfl-2026,
2026-05-31 10:00:37,Corinthians Steamrollers 2,32 - 12,Black Panthers Football,,,,spfl-2026,
2026-05-31 14:00:41,Guarulhos Rhynos 2,24 - 12,Caraguá Ghostship,,,,spfl-2026,
